Job Title,Company Name,Job Location,Required Experience,Full Job Description
Data Engineer,Company Industry IT - Software Services,Experience 5 - 10 Years Job Location Beirut - Lebanon Education Any Graduation Nationality Lebanese Gender Any Vacancy 1 Vacancy,Experience 5 - 10 Years Job Location Beirut - Lebanon Education Any Graduation Nationality Lebanese Gender Any Vacancy 1 Vacancy,"Job Description Roles & Responsibilities Job Description: The Data Engineer will perform the following tasks: Design, build, and maintain ETL/ELT pipelines. Automate data ingestion from various sources (databases, APIs, streaming services). Implement data validation and quality checks. Use platforms like Azure for cloud-based data solutions. Work with Data Scientists and Full stack Web Developers to provide clean, reliable data. Create and maintain comprehensive technical documentation, including user manuals, training materials, and product specifications, also developing functional specifications. Provide ongoing support for deployed pipelines including version control, data recovery processes, and deployment strategies. Research emerging technologies and industry trends, staying up to date with developments in the field, and actively assisting in testing and evaluating new products, tools, and technologies. The Data Engineer is expected to fulfil the following deliverables: Completed project plan at project inception. Technical documentation and user manuals for assigned tasks, including dataflow and entity relationship diagrams. Progress reports with time sheets reflecting task fulfilment and project progress. Final source code, design assets, documentation and all related components to pipelines and applications are being developed. Other related deliverables as needed. Qualifications A minimum high school diploma with a certification or degree in Information Systems, Information Technology, Computer Science, Statistics or related area is required. A minimum of 5+ years of professional experience with Python, SQL, cloud environments container orchestration (Kubernetes), and DevOps automation is required."
Applied AI & Data Engineer,"Experience 5 - 10 Years Job Location Remote (Company based out of Chandigarh, Chennai, Bangalore - India) Education Master of Technology/Engineering(Computers) Nationality Indian Gender Any Vacancy 1 Vacancy","Experience 5 - 10 Years Job Location Remote (Company based out of Chandigarh, Chennai, Bangalore - India) Education Master of Technology/Engineering(Computers) Nationality Indian Gender Any Vacancy 1 Vacancy","Experience 5 - 10 Years Job Location Remote (Company based out of Chandigarh, Chennai, Bangalore - India) Education Master of Technology/Engineering(Computers) Nationality Indian Gender Any Vacancy 1 Vacancy","Job Description Roles & Responsibilities What You’ll Do Build AI assistants using tool calling to work with real product, search, and order systems Design guardrails and evaluation sets to ensure AI responses are accurate and safe Build real-time and voice-enabled AI experiences Improve product data quality through AI-assisted enrichment and review workflows Build data pipelines, analytics, and personalisation systems Work closely with web and mobile developers and help guide technical implementation"
FinTech Data Engineer,Company Industry RecruitmentPlacement FirmExecutive Search,"Experience 4 - 8 Years Monthly Salary AED 200,000 - 800,000 ($54,001 - $216,001) Job Location Dubai - United Arab Emirates (UAE) Education Master of Technology/Engineering(Computers) Nationality Any GCC National Gender Any Vacancy 1 Vacancy","Experience 4 - 8 Years Monthly Salary AED 200,000 - 800,000 ($54,001 - $216,001) Job Location Dubai - United Arab Emirates (UAE) Education Master of Technology/Engineering(Computers) Nationality Any GCC National Gender Any Vacancy 1 Vacancy","Job Description Roles & Responsibilities FinTech Data Engineer Experience: 4–8 years Job Summary: Build scalable data pipelines and platforms for financial transaction, customer and risk data. Key Responsibilities: Develop batch and real-time data pipelines. Process large financial datasets. Build ETL/ELT workflows. Integrate structured and unstructured data. Optimize data processing and storage. Ensure data quality and governance."
Data Engineer,Company Industry RecruitmentPlacement FirmExecutive Search,"Experience 4 - 9 Years Job Location Dubai - United Arab Emirates (UAE) Education Master of Technology/Engineering(Computers), Master of Science(Computers) Nationality Any GCC National Gender Any Vacancy 1 Vacancy","Experience 4 - 9 Years Job Location Dubai - United Arab Emirates (UAE) Education Master of Technology/Engineering(Computers), Master of Science(Computers) Nationality Any GCC National Gender Any Vacancy 1 Vacancy","Job Description Roles & Responsibilities Job Description – Data Engineer (PySpark / Databricks) Position Data Engineer – PySpark / Databricks Experience 4–8 Years Location UAE – Dubai / Abu Dhabi Employment Type Full-Time / Contract Work Mode Onsite / Hybrid – As per client requirement Role Overview We are looking for an experienced Data Engineer with strong expertise in PySpark, Python, SQL, Databricks, and cloud data platforms to design, develop, and maintain scalable data pipelines and data processing solutions. The ideal candidate should have hands-on experience working with large datasets, developing ETL/ELT pipelines, implementing data transformations, optimizing Spark workloads, and building cloud-based data platforms. Key Responsibilities Design, develop, and maintain scalable data pipelines and ETL/ELT workflows. Develop high-performance data processing solutions using PySpark and Apache Spark. Build data pipelines to ingest data from databases, APIs, files, applications, and other sources. Perform data cleansing, transformation, aggregation, and validation. Develop and optimize Spark SQL and PySpark jobs. Work with structured, semi-structured, and unstructured data. Implement data pipelines using Databricks and cloud-based data platforms. Optimize Spark jobs for performance, scalability, memory utilization, and processing time. Implement data quality, validation, monitoring, and error-handling mechanisms. Work with data lakes, lakehouses, and data warehouse environments. Develop reusable and scalable data engineering frameworks. Collaborate with Data Architects, Data Scientists, Business Analysts, and application teams. Troubleshoot production data pipeline issues and perform root-cause analysis. Participate in code reviews, testing, deployment, and production support. Maintain technical documentation for data pipelines and data architecture. Mandatory Skills 4–8 years of experience in Data Engineering. Strong hands-on experience with PySpark and Apache Spark. Strong programming experience in Python. Strong proficiency in SQL. Experience developing ETL/ELT pipelines. Hands-on experience with Databricks. Strong understanding of Spark architecture, DataFrames, Spark SQL, transformations, and actions. Experience working with large-volume datasets. Good understanding of data warehousing and data lake concepts. Experience with relational and NoSQL databases. Knowledge of data pipeline performance tuning and optimization. Experience working with at least one major cloud platform – Azure, AWS, or GCP. Cloud & Data Technologies Candidates with experience in one or more of the following will be preferred: Azure Azure Data Factory Azure Databricks Azure Data Lake Storage Azure Synapse Microsoft Fabric AWS AWS Glue Amazon EMR Amazon S3 Redshift Kinesis GCP BigQuery Dataflow Dataproc Cloud Storage Good-to-Have Skills Delta Lake / Lakehouse architecture Apache Kafka Apache Airflow Snowflake dbt Hadoop / Hive Data modelling Data governance and data quality Docker and Kubernetes CI/CD Git / GitHub / GitLab Terraform Experience with real-time / streaming data pipelines Exposure to Generative AI / ML data pipelines Preferred Technology Stack Programming: Python, SQL Big Data: Apache Spark, PySpark, Kafka Data Platform: Databricks, Delta Lake, Snowflake Cloud: Azure / AWS / GCP Orchestration: Airflow / Azure Data Factory DevOps: Git, CI/CD, Docker, Kubernetes Candidate Profile The ideal candidate should: Have strong analytical and problem-solving skills. Be experienced in designing scalable data solutions. Have strong debugging and troubleshooting capabilities. Understand data architecture and data lifecycle concepts. Be comfortable working with large and complex datasets. Have good communication and stakeholder-management skills. Be able to work independently as well as collaboratively in a multicultural environment. Have experience working in enterprise or large-scale data environments. Education Bachelor's or Master's degree in Computer Science, Information Technology, Engineering, Data Science, or a related discipline."
Data Engineer,Company Industry RecruitmentPlacement FirmExecutive Search,"Experience 5 - 8 Years Job Location Abu Dhabi - United Arab Emirates (UAE) Education Bachelor of Science(Computers), MBA/PG Diploma in Business Mgmt(Information Technology) Nationality Any Nationality Gender Any Vacancy 1 Vacancy","Experience 5 - 8 Years Job Location Abu Dhabi - United Arab Emirates (UAE) Education Bachelor of Science(Computers), MBA/PG Diploma in Business Mgmt(Information Technology) Nationality Any Nationality Gender Any Vacancy 1 Vacancy","Job Description Roles & Responsibilities We are looking for an experienced Data Engineer with strong expertise in building scalable ETL/ELT pipelines, data integration frameworks, and cloud-based data solutions. The candidate will be responsible for developing reliable data platforms to support enterprise analytics, AI, and reporting requirements. Key Responsibilities Design, develop, and maintain scalable ETL/ELT data pipelines. Build data integration and transformation solutions using cloud technologies. Develop data models, data warehouses, and real-time data processing solutions. Implement data quality, validation, security, and performance optimisation practices. Support AI/ML and analytics workloads and collaborate with Data Scientists and business teams. Implement CI/CD and MLOps practices for automated and reliable data deployments."
Dicetek LLC,,,"CX Manager (Service Designer) Dicetek LLC 4 - 8 YearsAbu Dhabi - United Arab Emirates (UAE) Lead end-to-end guest journey design, operational service models, and digital solutions while ensuring alignment with customer experience and service standards. Easy Apply 17 Sep",
Senior Data Engineer (Arabic Speaker),Company Industry RecruitmentPlacement FirmExecutive Search,"Experience 10 - 15 Years Job Location Dubai - United Arab Emirates (UAE) Education Bachelors in Computer Application(Computers), Master of Science(Computers) Nationality Any Nationality Gender Any Vacancy 1 Vacancy","Experience 10 - 15 Years Job Location Dubai - United Arab Emirates (UAE) Education Bachelors in Computer Application(Computers), Master of Science(Computers) Nationality Any Nationality Gender Any Vacancy 1 Vacancy","Job Description Roles & Responsibilities Design, build, and maintain scalable and robust data pipelines, ensuring seamless data flow from source systems to analytical platforms. Develop and optimize complex ETL/ELT processes, transforming raw data into structured, analysis-ready datasets for business intelligence and machine learning initiatives. Architect and implement data warehousing solutions, employing best practices for data modeling, schema design, and performance tuning. Integrate diverse data sources, including relational databases, NoSQL stores, APIs, and streaming platforms, ensuring data quality and consistency."
Data Engineer/Test Confidential Company,Data Engineer/Test Confidential Company Posted on 2 Sep Easy Apply,Experience 5 - 10 Years Job Location Abu Dhabi(Al Reem Island) - United Arab Emirates (UAE) Education Bachelor of Technology/Engineering(Computers) Nationality Any Arab National Gender Any Vacancy 1 Vacancy,Experience 5 - 10 Years Job Location Abu Dhabi(Al Reem Island) - United Arab Emirates (UAE) Education Bachelor of Technology/Engineering(Computers) Nationality Any Arab National Gender Any Vacancy 1 Vacancy,"Job Description Roles & Responsibilities Design, build, and maintain scalable and robust data pipelines for efficient data ingestion, transformation, and loading. Develop and implement automated testing frameworks for data quality, data integrity, and pipeline performance. Collaborate with data scientists and analysts to understand data requirements and translate them into technical solutions. Optimize data warehouse and data lake performance, ensuring efficient query execution and data accessibility."
Data Engineer Confidential Company,Data Engineer Confidential Company Multiple Vacancies Employer Active Posted on 6 Sep Easy Apply,"Experience 5 - 10 Years Job Location Wakra, Doha - Qatar Education Master of Science(Computers) Nationality Any Anglophone National, Any Arab National, Any GCC National, Any European National Gender Male Vacancy 2 Vacancies","Experience 5 - 10 Years Job Location Wakra, Doha - Qatar Education Master of Science(Computers) Nationality Any Anglophone National, Any Arab National, Any GCC National, Any European National Gender Male Vacancy 2 Vacancies","Job Description Roles & Responsibilities Design, develop, and maintain data ingestion, transformation, and orchestration pipelines using Microsoft Fabric and Azure Data Factory (ADF). Build and manage ETL/ELT processes for structured and unstructured data sources. Develop and optimize data models, data lakes, and data warehouses within the Azure ecosystem. Integrate data from multiple on-premises and cloud-based systems. Monitor, troubleshoot, and optimize data pipelines to ensure reliability and performance. Implement data quality, governance, and security best practices. Collaborate with business analysts, data scientists, and stakeholders to understand data requirements. Develop and maintain technical documentation, data dictionaries, and operational procedures. Support reporting and analytics platforms such as Power BI. Participate in data platform modernization and cloud migration initiatives.implementing improvements."
Senior Data Engineer Capco,Company Industry BankingFinancial ServicesBroking,Experience 7 - 12 Years Job Location United Arab Emirates - United Arab Emirates Education Bachelor of Science(Computers) Nationality Any Nationality Vacancy 1 Vacancy,Experience 7 - 12 Years Job Location United Arab Emirates - United Arab Emirates Education Bachelor of Science(Computers) Nationality Any Nationality Vacancy 1 Vacancy,"Job Description Roles & Responsibilities Build robust, enterprise-scale data solutions at the heart of a major financial services transformation. The Role We are looking for an experienced Snowflake Data Engineer to provide specialist data engineering services for a leading financial institution in the Middle East. You will be responsible for delivering robust, supportable data pipelines and curated datasets aligned with unified data platform standards. The engagement covers the full data lifecycle, from ingestion and transformation through to data quality, monitoring, documentation and operational handover. The engagement is expected to run for one year and requires relocation to the Middle East for its duration . You will collaborate with client and project teams to deliver the agreed data engineering scope and project outcomes. What You ll Do Design, configure and implement Snowflake data engineering components, including Tasks, Streams, Snowpipe Streaming, dbt Projects and Iceberg tables. Deliver source-to-target mappings and reliable ingestion pipelines from agreed source systems into the unified data platform. Develop curated data models for analytical use cases, incorporating data quality checks, reconciliation logic and monitoring. Create and maintain technical documentation and runbooks covering data lineage, dependencies, operational procedures and ongoing support. Coordinate activities with governance and architecture counterparts on ownership, classification, access controls and metadata, while supporting deployment, stabilization, performance tuning and knowledge transfer. Bonus Points For Experience providing services across enterprise-scale unified data platforms and complex source-system landscapes. Familiarity with data governance principles, including data ownership, classification, metadata, lineage and access controls. Experience supporting production deployment, stabilization and performance-tuning activities. Experience collaborating with architecture, governance and cross-functional engineering teams on large transformation programmes. ONLINE RECRUITMENT PROCESS STEPS Screening call with the Recruiter Hiring Manager Technical Interview Client Interview Feedback/Offer We offer a flexible collaboration model based on a B2B contract, with the opportunity to work on diverse projects. #LI-ONSITE"
